Canonical Smiles,Molecule ChemBL ID,Predicted IC50 value (nM)
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL130628,557.3681744563132
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,948.9138661685456
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,1042.4515641489993
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL130112,1414.241887295514
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,2141.013096838488
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL337486,3025.6783432786488
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,CHEMBL131588,3172.1468108593094
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,5580.780035708455
