# of Nodes 3,Epochs,Batch size,l2_2,l2_3,Train loss,Test loss,r2
0,150,6,0.03,0,0.5330638289451599,0.8161547183990479,0.2583916659441969
0,150,2,0.07,0,0.5975915789604187,0.8174043893814087,0.2631029148809145
0,150,6,0.05,0,0.5476340651512146,0.817605197429657,0.2706111443177313
0,150,2,0.03,0,0.5660578012466431,0.8153098225593567,0.2710983034384729
0,50,6,0.07,0,0.6599237322807312,0.8249702453613281,0.2821341240970013
0,100,4,0.07,0,0.5843655467033386,0.802525520324707,0.283604573664548
0,150,4,0.07,0,0.5417113304138184,0.8060188889503479,0.2873895310608099
0,100,2,0.05,0,0.5780465602874756,0.8006246089935303,0.2918855160018546
0,150,2,0.05,0,0.5502763986587524,0.8134329915046692,0.292448044076918
0,150,4,0.03,0,0.5063300132751465,0.795129656791687,0.2937364772360509
0,100,4,0.05,0,0.5706164836883545,0.7963759303092957,0.2994334044633947
0,150,4,0.05,0,0.5359227657318115,0.7975887060165405,0.2995355564393002
0,50,4,0.07,0,0.6533927917480469,0.8113864660263062,0.3003234129418425
0,50,2,0.03,0,0.6288121342658997,0.8031888008117676,0.3010804066508329
0,100,4,0.03,0,0.552395224571228,0.7929716110229492,0.3040181849415511
0,150,6,0.07,0,0.5462073087692261,0.8052319884300232,0.3060393781681628
0,50,2,0.07,0,0.6616450548171997,0.7968777418136597,0.3135761241501581
0,100,6,0.05,0,0.5527998208999634,0.7944706678390503,0.3148039437969886
0,50,4,0.03,0,0.5992448329925537,0.7983526587486267,0.3163921920700336
0,100,2,0.07,0,0.6063625812530518,0.7945718765258789,0.3212306288485557
0,50,2,0.05,0,0.6406668424606323,0.7965667247772217,0.324598444134531
0,100,6,0.07,0,0.5763840675354004,0.7918580770492554,0.3254744333067788
0,100,2,0.03,0,0.5527128577232361,0.7770925760269165,0.3264364891006618
0,50,6,0.03,0,0.5877441763877869,0.7831852436065674,0.3284453148473052
0,100,6,0.03,0,0.5456137657165527,0.7789299488067627,0.3296695400750479
0,50,4,0.05,0,0.6177670955657959,0.7935705184936523,0.3320494740859909
0,50,6,0.05,0,0.6003114581108093,0.7791362404823303,0.3520829277343994
