molecule_chembl_id,canonical_smiles,pIC50
CHEMBL1451658,Cc1cccc(C(=O)NCc2nnc(SCC(=O)NC3=NCCS3)n2C)c1,5.2500010234416505
CHEMBL208926,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)S1,4.450000476425332
CHEMBL1309462,COC(=O)c1sccc1NC(=O)CN(C)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,4.949999401714238
CHEMBL1727678,COc1cc(N(C)C)ccc1C=c1c2ccccc2n2c1cc(-c1ccccc1)[n+]2C.O=S(=O)([O-])C(F)(F)F,4.650000220873455
CHEMBL27577,NC(=O)c1ccccc1O,4.749999855918706
CHEMBL3210309,Oc1ccc(/C=N/N2CCCCC2)c(O)c1,5.199998172182031
CHEMBL1477145,CC(=O)Nc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,4.450000476425332
CHEMBL1467908,NC(=NO)c1cn(Cc2ccccc2Cl)c2ccccc12,4.450000476425332
CHEMBL3191360,COc1ccc(/C=N/Nc2nc(Nc3ccccc3)nc(N3CCCCC3)n2)cc1OC,4.650000220873455
CHEMBL1339364,CCN1CCN(c2ccc(NC(=O)COc3ccc([N+](=O)[O-])cc3)cc2)CC1,4.849999245077863
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,5.0
CHEMBL1528482,CCOC(=O)c1c(C)c(C)n2c1NC(=O)C2,5.050000457140078
CHEMBL1863995,O=C(Nc1cccc(C(=O)N2CCCC2)c1)C1CCCCC1,4.59999938302362
CHEMBL3210363,C/C(=N\Nc1ccccc1Cl)c1ccc(-n2ccnc2)cc1,4.650000220873455
CHEMBL1570659,O=C(O)C1Nc2c(C(=O)N3CCOCC3)cccc2C2C=CCC12,5.599997654072044
CHEMBL1408656,CCc1cccc(C)c1Nc1c(-c2ccc(N(C)C)cc2)nc2ncccn12,4.450000476425332
CHEMBL1607740,CCn1cnc2cc(NCc3ccncc3)ccc21,4.949999401714238
CHEMBL1454745,COCCNc1c(-c2ccc(OC)c(OC)c2)nc2ccc(Cl)cn12,4.899998417198648
CHEMBL1376278,CCCCC1=CC2=CC(=O)C(C)(OC(=O)CC)C(=O)C2=CN1Cc1ccco1,4.499999678657065
CHEMBL1349531,O=C(CN1C(=O)COc2ccccc21)Nc1ccc(N2CCOCC2)cc1,4.849999245077863
CHEMBL3207738,COc1ccccc1N1CCN(C/C(O)=C(\C#N)c2nc(-c3ccccc3)cs2)CC1,4.949999401714238
CHEMBL1546396,Nc1c(C(=O)NC2CC2)sc2nc3c(c(-c4ccco4)c12)CC/C3=C/c1ccco1,5.749994971513105
CHEMBL3210415,CCO/C(O)=C1\C(C)=NC(SCC(N)=O)=C(C#N)C1c1cccs1,4.450000476425332
CHEMBL1358783,CSCCC(C(=O)NCc1cccs1)N1C(=O)c2ccccc2C1=O,4.700000503883016
CHEMBL1572168,CC(C)(C)c1cc(-c2nnc(S)n2-c2ccccc2F)[nH]n1,4.849999245077863
CHEMBL1359588,Cc1cc(C)n2nc(SCC(=O)Nc3ccc(O)cc3)nc2n1,4.800000874803203
CHEMBL1479709,CCn1cc(Br)c(C(=O)NC(=S)Nc2c(C)cc(C)cc2[N+](=O)[O-])n1,4.650000220873455
CHEMBL293749,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,5.450004148469349
CHEMBL1461114,CN(Cc1nnc(S)n1C)S(=O)(=O)c1ccccc1,4.499999678657065
CHEMBL1594152,Sc1nnc(Cc2c[nH]c3ccccc23)o1,4.450000476425332
CHEMBL1598927,COc1ccc(N2CCN(c3ccc(N4C(=O)COCC4=O)cc3[N+](=O)[O-])CC2)cc1,4.749999855918706
CHEMBL1436189,CCCCN(C)CCNC(=O)c1ccc2c(c1)NC(=O)CN2,4.650000220873455
CHEMBL1727692,COc1ccc(C(=O)Nc2ccc(Nc3ccccc3)cc2)cc1Br,6.50003813440381
CHEMBL1530357,CC(=O)c1c(C)n(C2CCCCC2)c2ccc(O)cc12,4.450000476425332
CHEMBL1374603,COc1ccc(NS(=O)(=O)c2ccc3c(c2)[C@H]2C=CC[C@H]2[C@@H](c2ccc(C(=O)O)cc2)N3)cc1,5.0
CHEMBL1564784,CN(C)c1ccc(CNC2C3CC4CC(C3)CC2C4)cc1.Cl,4.899998417198648
CHEMBL1315592,COC(=O)C1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1,4.450000476425332
CHEMBL2141718,CC1CCCCC1NC(=O)CN1CCC(NC(=O)C(C)(C)C)CC1,5.499996931948306
CHEMBL1533345,Nc1ccc(N2CCCCC2)c(Cl)c1,4.450000476425332
CHEMBL1874822,O=C(NN1CCCCCC1)c1ccccc1F,4.749999855918706
CHEMBL1467813,Nc1cccc2c1C(=O)N(C(=O)c1cccc(S(=O)(=O)N3CCCCCC3)c1)C2=O,4.849999245077863
CHEMBL1536286,Cc1cc(C(=O)OCC(=O)NC(C)C)c2ccccc2n1,4.800000874803203
CHEMBL1406034,COc1ccccc1CNC(=O)c1cnn2c(C)c(Cc3ccc(F)cc3)c(C)nc12,4.849999245077863
CHEMBL1539713,CNC(S)=Nc1ccc(OC)cc1,4.450000476425332
CHEMBL1536287,CSc1ccccc1NC(=O)C(=O)c1c[nH]c2ccccc12,5.2500010234416505
