molecule_chembl_id,canonical_smiles,pIC50
CHEMBL316785,CCc1cc(NCc2cc3ccccc3o2)c(O)nc1C,6.480001470881152
CHEMBL290312,CSCSc1cc(Cc2cc(C)cc(C)c2)c(C(C)C)c(O)n1,5.154901959985743
CHEMBL58711,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,8.301029995663981
CHEMBL68530,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(=O)Nc1ccccc1S2,4.0
CHEMBL125867,CCc1cc(NCc2cc3ccccc3[nH]2)c(O)nc1C,5.359999833093897
CHEMBL308222,C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1,6.173925197299173
CHEMBL65881,CC(C)=CCN1CCn2c(=S)[nH]c3cccc(c32)C1C,7.107905397309519
CHEMBL67095,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CN(C)c1ccccc1S2,4.8326826652518236
CHEMBL65800,CCCN1CCn2c(=S)[nH]c3cccc(c32)C1C,5.614393726401688
CHEMBL339138,CCc1cc(NCc2ccccn2)c(O)nc1C,4.820000071285178
CHEMBL420740,CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C,6.838631997765025
CHEMBL66350,C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C,7.585026652029182
CHEMBL39999,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,6.096910013008056
CHEMBL69674,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1,6.795880017344075
CHEMBL66704,CC1CN(CC2CC2)Cc2cc(Cl)cc3[nH]c(=S)n1c23,5.661543506395395
CHEMBL304317,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(CCC)C1,4.317854923626168
CHEMBL65801,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)CC1C,4.459670525209126
CHEMBL304294,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1C,7.638272163982407
CHEMBL123639,CCc1cc(NCc2ccc3ccccc3n2)c(O)nc1C,6.279997898282849
CHEMBL66758,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(c1ccccc1)Nc1ccccc1S2,4.0
CHEMBL314567,CN1N=C(N)c2cn(C3C[C@@H](O)[C@@H](CO)O3)c3ncnc1c23,4.0
CHEMBL462018,CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,7.3979400086720375
CHEMBL2367598,CN1N=C(N)c2cn([C@H]3C=C[C@@H](CO)O3)c3ncnc1c23,4.0
CHEMBL2112098,CN1N=C(N)c2cn([C@H]3CC[C@@H](CO)O3)c3ncnc1c23,4.6777807052660805
